4,2,2,1,1,NO
4,1,1,1,2,SI
3,2,2,1,2,NO
3,2,4,1,2,NO
3,2,4,1,2,NO
4,2,1,1,1,SI
4,1,3,2,1,SI
4,2,2,1,1,NO
4,3,1,1,1,SI
4,1,1,1,1,SI
3,2,2,1,1,NO
4,2,4,3,2,NO
4,5,1,1,1,NO
4,3,1,1,1,SI
6,2,4,1,2,NO
5,5,2,1,2,NO
3,2,4,1,2,NO
3,2,1,1,2,SI
2,1,3,1,1,SI
4,4,1,1,2,SI
5,2,4,1,1,SI
4,1,1,1,1,SI
4,1,1,1,1,SI
4,2,2,1,1,SI
2,1,3,2,1,SI
3,2,1,1,2,SI
4,1,1,1,2,SI
3,2,4,1,2,NO
4,2,1,2,1,SI
3,4,1,2,1,SI
2,5,1,2,2,SI
1,3,1,1,1,NO
2,5,4,1,2,NO
3,2,2,1,2,NO
3,2,1,1,2,SI
2,5,1,1,1,SI
2,5,1,1,1,SI
1,3,1,1,1,NO
4,2,2,1,1,SI
3,2,1,1,2,NO
2,5,1,1,1,SI
4,3,1,1,1,SI
3,1,1,2,1,SI
4,2,2,1,1,SI
4,4,4,1,1,SI
2,1,3,1,1,NO
4,5,1,2,2,NO
4,3,1,1,1,SI
5,6,1,1,1,SI
4,1,1,1,1,SI
3,2,2,1,2,NO
4,3,1,1,1,SI
4,1,1,1,1,SI
4,4,1,1,2,SI
6,2,2,1,1,NO
5,2,4,1,2,NO
1,4,1,3,1,NO
4,2,2,3,1,NO
4,1,1,1,1,SI
5,2,4,1,2,NO
2,2,2,1,2,NO
4,1,1,1,1,SI
1,2,1,1,2,NO
4,2,2,1,2,NO
3,2,2,1,2,NO
4,3,1,1,1,SI
1,2,1,1,2,NO
6,3,2,1,2,NO
4,2,2,1,1,SI
4,5,1,1,1,SI
4,1,1,1,1,SI
2,5,1,1,1,SI
2,5,2,1,2,NO
2,5,1,1,1,SI
6,2,2,1,2,NO
3,2,1,1,2,SI
5,3,2,1,2,NO
4,2,1,1,1,SI
6,4,4,1,2,NO
3,3,3,3,1,NO
3,2,2,1,2,NO
5,2,2,1,1,SI
2,1,3,1,1,SI
5,6,1,1,1,SI
5,2,2,1,1,SI
2,5,1,2,2,SI
2,3,4,1,2,NO
5,2,4,1,2,NO
2,5,2,1,2,NO
4,1,3,2,1,SI
4,5,1,1,2,NO
6,2,2,1,2,NO
2,5,4,1,2,NO
4,6,1,1,2,SI
4,1,1,1,1,SI
4,2,1,1,1,SI
4,1,1,1,2,SI
5,3,2,1,2,NO
4,1,1,1,1,SI
6,2,2,1,1,NO
4,3,1,1,1,SI
6,3,2,1,2,NO
4,2,2,1,2,SI
5,2,4,1,2,NO
3,2,2,1,2,NO
6,3,4,1,2,NO
4,4,1,1,2,SI
4,3,1,1,2,NO
4,2,1,1,1,SI
2,4,2,1,2,NO
6,2,2,1,1,NO
2,3,2,1,2,NO
2,2,2,1,2,NO
6,2,4,1,2,NO
3,2,4,1,2,NO
2,3,2,1,2,NO
2,6,4,1,2,NO
5,2,4,1,2,NO
2,5,1,1,1,SI
1,6,1,1,1,SI
1,6,3,1,1,SI
1,3,1,1,1,NO
4,1,1,1,1,SI
4,1,1,1,1,SI
4,2,2,3,1,NO
6,4,2,1,2,NO
